,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,C.019.1,306765,1,1,0,306765,3.259824295470474,3.259824295470474
1,C.046.1,102651,2,2,0,102651,19.483492610885428,19.483492610885428
2,Donor-3,435489,3,3,0,435489,6.888807754042007,6.888807754042007
3,Donor-5,283849,1,1,0,283849,3.5229999048790024,3.5229999048790024
4,Subject-326650,77216556,5,3,2,77216554,0.06475295272169353,0.03885177263932291
5,Subject-326651,157010895,95,29,66,157010829,0.6050535537677179,0.18470063615803214
6,Subject-326713,132075912,74,38,36,132075876,0.5602838464594513,0.2877134049824512
7,Subject-326737,94176505,71,4,67,94176438,0.7539035346448671,0.042473468788445795
8,Subject-326780,117108038,3,1,2,117108036,0.02561737051729959,0.008539123651599792
9,Subject-326797,99872859,6,3,3,99872856,0.06007638171247305,0.030038191758529464
10,Subject-327059,102853434,27,6,21,102853413,0.26250946565381567,0.058335448722542635
11,Subject-CORD2,1358084,3,1,2,1358082,2.2089944362793466,0.7363325631294723
12,Subject-CORD3,1441611,5,2,3,1441608,3.4683420145933956,1.3873396928984856
13,Subject-D103,65645990,42,3,39,65645951,0.6397953629764743,0.04569969593402646
14,Subject-HIP1,218062505,181,19,162,218062343,0.830037240927779,0.08713104582206567
15,Subject-HIP2,174080204,144,38,106,174080098,0.8272049129721838,0.2182903182878493
16,Subject-HIP3,156488073,4,2,2,156488071,0.025561053461243655,0.012780526893963695
