,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,A002,419971,51,14,37,419934,121.43695636127256,33.338572251830044
1,A007,802011,120,18,102,801909,149.62388296419874,22.446437189257136
2,A013,394675,50,12,38,394637,126.68651422056122,30.40769111867362
3,A030,400094,151,9,142,399952,377.4113083425395,22.502700324038884
4,A058,379324,1,1,0,379324,2.6362687306893315,2.6362687306893315
5,A098,396159,305,14,291,395868,769.8928965390159,35.36532379480029
6,AT2,67905,3,3,0,67905,44.17936823503424,44.17936823503424
7,AT3,65495,2,2,0,65495,30.53668218948011,30.53668218948011
8,C.012.1,355151,135,98,37,355114,380.12000529352304,275.96771740905734
9,C.013.1,170199,19,11,8,170191,111.63402840204701,64.63326497875916
10,C.019.1,306765,162,148,14,306751,528.0915358662168,482.4760147481182
11,C.020.1,138048,12,6,6,138042,86.92628650904032,43.46503238144912
12,C.025.1,220872,2,2,0,220872,9.055018291136948,9.055018291136948
13,C.026.1,282203,94,51,43,282160,333.0935532223258,180.7485114828466
14,C.035.1,140374,22,3,19,140355,156.72417969139585,21.374372127818745
15,C.036.1,206231,1,1,0,206231,4.848931537935616,4.848931537935616
16,C.038.1,101126,1,1,0,101126,9.888653758677295,9.888653758677295
17,C.046.1,102651,50,42,8,102643,487.0873152721357,409.1852342585466
18,C.049.1,6059,1,1,0,6059,165.0437365901964,165.0437365901964
19,C.052.1,203433,91,61,30,203403,447.3217226310382,299.89724831983796
20,C.057.1,29229,5,3,2,29227,171.06298539122105,102.64481472610942
21,C.063.1,235331,33,27,6,235325,140.22801925798132,114.73494103898864
22,C.064.1,4563,1,1,0,4563,219.15406530791148,219.15406530791148
23,C4,101665,1,1,0,101665,9.836226823390547,9.836226823390547
24,C6,136353,2,2,0,136353,14.667810755905627,14.667810755905627
25,C8,26039,1,1,0,26039,38.40393256269442,38.40393256269442
26,C9,36236,2,2,0,36236,55.19372999227288,55.19372999227288
27,COS1,923780,324,67,257,923523,350.7328584727966,72.54827437973933
28,COS2,602828,187,37,150,602678,310.20456913083007,61.39265080192076
29,COS3,799900,210,73,137,799763,262.53281660207523,91.27704082334392
30,COS4,1024925,344,10,334,1024591,335.63431470595407,9.759992035846498
31,COS5,638088,3,2,1,638087,4.701545868281491,3.134368824313926
32,Ctl1,233879,22,12,10,233869,94.06573484579633,51.31077654584404
33,Ctl2,428596,135,44,91,428505,314.9819410353806,102.68258246694904
34,Ctl3,318223,65,11,54,318169,204.25927729925243,34.57282136223202
35,Ctl4,258693,28,9,19,258674,108.23640376817308,34.79282803838036
36,Donor-1,1063897,3,1,2,1063895,2.819821843655918,0.939942381532012
37,Donor-155,341529,4,4,0,341529,11.712036166767684,11.712036166767684
38,Donor-157,293791,1,1,0,293791,3.403780238332692,3.403780238332692
39,Donor-3,435489,193,193,0,435489,443.17996551003586,443.17996551003586
40,Donor-4,130071,7,2,5,130066,53.81676161481037,15.376808697123
41,Donor-5,283849,58,17,41,283808,204.33399448298215,59.89965046792197
42,Donor-6,253298,6,5,1,253297,23.687514311206563,19.739673189970667
43,Donor-HD1,1363697,2,1,1,1363696,1.466601451788777,0.7333012636247375
44,Donor-HD3,2036125,2,2,0,2036125,0.982257965498189,0.982257965498189
45,H1,643900,114,29,85,643815,177.04612517471656,45.04399555773009
46,HD09,295915,45,8,37,295878,152.07069597688525,27.038171138104218
47,HD1,181425347,93,25,68,181425279,0.5126075354840026,0.1377977762404323
48,LP08248,236129,5,4,1,236128,21.17486628071944,16.939964764873288
49,LP23810,181392,31,23,8,181384,170.90059098526947,126.80280509857539
