,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,A002,419971,0,0,0,419971,0.0,0.0
1,A007,802011,12,2,10,802001,14.962388296419874,2.493762476605391
2,A013,394675,0,0,0,394675,0.0,0.0
3,A030,400094,0,0,0,400094,0.0,0.0
4,A058,379324,0,0,0,379324,0.0,0.0
5,A098,396159,0,0,0,396159,0.0,0.0
6,C.012.1,355151,3,3,0,355151,8.447111228744957,8.447111228744957
7,C.013.1,170199,0,0,0,170199,0.0,0.0
8,C.019.1,306765,0,0,0,306765,0.0,0.0
9,C.025.1,220872,0,0,0,220872,0.0,0.0
10,C.026.1,282203,0,0,0,282203,0.0,0.0
11,C.035.1,140374,0,0,0,140374,0.0,0.0
12,C.036.1,206231,0,0,0,206231,0.0,0.0
13,C.046.1,102651,3,3,0,102651,29.22523891632814,29.22523891632814
14,C.052.1,203433,1,1,0,203433,4.915623325615805,4.915623325615805
15,C.057.1,29229,0,0,0,29229,0.0,0.0
16,C.063.1,235331,0,0,0,235331,0.0,0.0
17,C7,49120,0,0,0,49120,0.0,0.0
18,COS1,923780,8,1,7,923773,8.660070579575223,1.0825170252865153
19,COS2,602828,7,2,5,602823,11.611935742865295,3.3177234445268344
20,COS3,799900,0,0,0,799900,0.0,0.0
21,COS4,1024925,0,0,0,1024925,0.0,0.0
22,Ctl1,233879,0,0,0,233879,0.0,0.0
23,Ctl2,428596,0,0,0,428596,0.0,0.0
24,Ctl3,318223,0,0,0,318223,0.0,0.0
25,Ctl4,258693,0,0,0,258693,0.0,0.0
26,Donor-157,293791,0,0,0,293791,0.0,0.0
27,Donor-2,62441,0,0,0,62441,0.0,0.0
28,Donor-3,435489,4,4,0,435489,9.185077005389344,9.185077005389344
29,Donor-4,130071,0,0,0,130071,0.0,0.0
30,Donor-5,283849,0,0,0,283849,0.0,0.0
31,Donor-6,253298,0,0,0,253298,0.0,0.0
32,Donor-HD1,1363697,0,0,0,1363697,0.0,0.0
33,Donor-HD3,2036125,0,0,0,2036125,0.0,0.0
34,H1,643900,0,0,0,643900,0.0,0.0
35,HD07,315863,0,0,0,315863,0.0,0.0
36,HD1,181425347,0,0,0,181425347,0.0,0.0
37,HD10,354397,0,0,0,354397,0.0,0.0
38,HD13,265652,0,0,0,265652,0.0,0.0
39,LP08248,236129,0,0,0,236129,0.0,0.0
40,LP23810,181392,1,1,0,181392,5.512922289847403,5.512922289847403
41,LP32647,124010,0,0,0,124010,0.0,0.0
42,P.190.1,124202,0,0,0,124202,0.0,0.0
43,P.191.1,26571,0,0,0,26571,0.0,0.0
44,Patient-H011,93966,3,1,2,93964,31.92644147883277,10.642373675024476
45,Patient-H012,42583,0,0,0,42583,0.0,0.0
46,Subject-1009,247349,0,0,0,247349,0.0,0.0
47,Subject-1010,234355,0,0,0,234355,0.0,0.0
48,Subject-1011,229498,0,0,0,229498,0.0,0.0
49,Subject-1015,222056,0,0,0,222056,0.0,0.0
50,Subject-1017,211489,0,0,0,211489,0.0,0.0
51,Subject-316188,58895283,1,1,0,58895283,0.01697928847714341,0.01697928847714341
52,Subject-326650,77216556,153,15,138,77216418,1.9814403532838216,0.1942592053415376
53,Subject-326651,157010895,233,69,164,157010731,1.4839734529250344,0.43946040860098917
54,Subject-326713,132075912,162,70,92,132075820,1.2265673395463663,0.5299986023179716
55,Subject-326737,94176505,88,8,80,94176425,0.9344156485739198,0.08494694930286428
56,Subject-326780,117108038,85,7,78,117107960,0.7258254979901549,0.05977390435287234
57,Subject-326797,99872859,67,9,58,99872801,0.6708529291226157,0.09011462490172875
58,Subject-326907,33686764,487,7,480,33686284,14.456716590527959,0.2077997086291857
59,Subject-327059,102853434,178,20,158,102853276,1.730617958754785,0.19445175475013554
60,Subject-BD1,8633933,0,0,0,8633933,0.0,0.0
61,Subject-BD1+3+4,2700689,3,3,0,2700689,1.110827644352978,1.110827644352978
62,Subject-BD10,302689,0,0,0,302689,0.0,0.0
63,Subject-BD12,443315,0,0,0,443315,0.0,0.0
64,Subject-BD14,1074780,0,0,0,1074780,0.0,0.0
65,Subject-BD1h,2300336,15,2,13,2300323,6.520786528576695,0.8694431173361307
66,Subject-BD2r,747335,0,0,0,747335,0.0,0.0
67,Subject-BD3,1843944,865,7,858,1843086,469.10318317692946,3.79797795653594
68,Subject-BD3h,896567,0,0,0,896567,0.0,0.0
69,Subject-BD4,993820,0,0,0,993820,0.0,0.0
70,Subject-BD5,3582234,2,1,1,3582233,0.558310819449539,0.27915548765253406
71,Subject-BD5g,501835,1,1,0,501835,1.9926868392997699,1.9926868392997699
72,Subject-BD5h,1967787,18,1,17,1967770,9.147331494719703,0.5081894733632488
