,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,A002,419971,184,18,166,419805,438.1254896171402,42.877050058955945
1,A007,802011,154,34,120,801891,192.01731647072174,42.39977752587322
2,A013,394675,105,24,81,394594,266.04167986317856,60.822009457822475
3,A030,400094,45,12,33,400061,112.47356871135284,29.99542569758112
4,A058,379324,35,8,27,379297,92.26940557412661,21.091651133544428
5,A098,396159,18,6,12,396147,45.43630209082717,15.145892812516566
6,AT2,67905,1,1,0,67905,14.726456078344746,14.726456078344746
7,AT3,65495,32,5,27,65468,488.58691503168177,76.37318995539806
8,C.012.1,355151,105,62,43,355108,295.6488930060735,174.59477116820798
9,C.013.1,170199,24,10,14,170185,141.01140429732257,58.75958515732879
10,C.019.1,306765,37,32,5,306760,120.61349893240755,104.3160777154779
11,C.020.1,138048,3,1,2,138046,21.73157162726008,7.243962157541689
12,C.025.1,220872,8,2,6,220866,36.22007316454779,9.05526427788795
13,C.026.1,282203,73,46,27,282176,258.67903601308274,163.01882513041505
14,C.035.1,140374,24,5,19,140355,170.97183239061366,35.623953546364575
15,C.036.1,206231,6,3,3,206228,29.093589227613695,14.547006226118665
16,C.038.1,101126,62,4,58,101068,613.0965330379922,39.57731428345273
17,C.046.1,102651,55,46,9,102642,535.7960467993493,448.15962276650885
18,C.052.1,203433,60,41,19,203414,294.9373995369483,201.55938136018167
19,C.057.1,29229,3,2,1,29228,102.63779123473263,68.42753524018066
20,C.063.1,235331,84,16,68,235263,356.9440490203161,68.00899418948156
21,C.064.1,4563,2,2,0,4563,438.30813061582296,438.30813061582296
22,C10,79473,6,4,2,79471,75.49733871881016,50.33282581067308
23,C4,101665,2,2,0,101665,19.672453646781094,19.672453646781094
24,C5,77042,4,2,2,77040,51.91973209418239,25.96053997923157
25,C7,49120,3,3,0,49120,61.074918566775246,61.074918566775246
26,C9,36236,3,3,0,36236,82.79059498840931,82.79059498840931
27,COS1,923780,252,41,211,923569,272.79222325661954,44.393001497451735
28,COS2,602828,112,12,100,602728,185.79097188584473,19.909478238940284
29,COS3,799900,278,46,232,799668,347.54344293036627,57.52387240704892
30,COS4,1024925,824,16,808,1024117,803.9612654584481,15.62321492563838
31,COS5,638088,68,5,63,638025,106.56837301438047,7.836683515536225
32,Ctl1,233879,31,6,25,233854,132.54717182816756,25.65703387583706
33,Ctl2,428596,52,17,35,428561,121.32637728770217,39.667631912376535
34,Ctl3,318223,33,7,26,318197,103.70086385962045,21.998950335798263
35,Ctl4,258693,39,14,25,258668,150.75784810566967,54.12343235344148
36,Donor-1,1063897,28,2,26,1063871,26.318337207455233,1.8799271716213715
37,Donor-155,341529,1,1,0,341529,2.928009041691921,2.928009041691921
38,Donor-157,293791,4,4,0,293791,13.615120953330768,13.615120953330768
39,Donor-2,62441,1,1,0,62441,16.015118271648436,16.015118271648436
40,Donor-3,435489,272,253,19,435470,624.5852363664754,580.9814682986199
41,Donor-4,130071,6,2,4,130067,46.128652812694604,15.376690474909084
42,Donor-5,283849,89,35,54,283795,313.5469915342312,123.328458922814
43,Donor-6,253298,27,14,13,253285,106.59381440042952,55.273703535542964
44,Donor-HD1,1363697,77,4,73,1363624,56.46415589386792,2.9333599291300243
45,Donor-HD3,2036125,1,1,0,2036125,0.4911289827490945,0.4911289827490945
46,H1,643900,39,16,23,643877,60.568411243981984,24.849466590668715
47,HD07,315863,18,5,13,315850,56.98673158932828,15.83029919265474
48,HD09,295915,30,4,26,295889,101.38046398459016,13.518582982131813
49,HD1,181425347,243,33,210,181425137,1.3393938830388457,0.18189320700361386
50,HD10,354397,101,7,94,354303,284.99112577138067,19.75710056081941
51,HD13,265652,79,7,72,265580,297.38153674732354,26.35740643120717
52,LP08248,236129,27,17,10,236119,114.34427791588496,71.9975944333154
53,LP23810,181392,30,23,7,181385,165.3876686954221,126.80210601758691
54,LP32647,124010,49,30,19,123991,395.1294250463672,241.95304497907105
55,P.190.1,124202,38,13,25,124177,305.9532052623951,104.68927418120909
56,P.191.1,26571,9,1,8,26563,338.7151405667833,37.64635018634943
57,Patient-H011,93966,61,22,39,93927,649.1709767362663,234.22445090336112
58,Patient-H012,42583,6,5,1,42582,140.90129864030249,117.42050631722324
59,Patient-H013,66555,17,5,12,66543,255.4278416347382,75.1393835564973
60,Patient-H014,83062,24,9,15,83047,288.94079121619995,108.37236745457392
61,Subject-1009,247349,40,16,24,247325,161.71482399362844,64.69220661073487
62,Subject-1010,234355,132,27,105,234250,563.2480638347806,115.26147278548558
63,Subject-1011,229498,34,17,17,229481,148.14943921079922,74.08020707596707
